geoid,state_fips,state,name_county,name.x,population,median_income,median_home_value,median_age,vacancy_rate,longitude,latitude,climate_val,climate_flag,growing_val,growing_flag,type,type_name,clean_name
0103076,01,AL,Lee,"Auburn city, Alabama",78738,56123,342400,25.6,0.14672339932847053,-85.49074851901734,32.60909017132595,0.39649534184023616,FALSE,47.502412068359284,TRUE,risk,City at Risk,Auburn
0107000,01,AL,Jefferson,"Birmingham city, Alabama",199322,44376,138600,35.9,0.18710228368364507,-86.79706868269176,33.52786314086248,0.454726873646921,FALSE,-3.5293041117579205,FALSE,origin,Origin City,Birmingham
0120104,01,AL,Morgan,"Decatur city, Alabama",57760,59831,190500,40.4,0.06883916738130506,-86.99028047932396,34.57305078197015,0.4952636543375888,FALSE,3.232283793423816,TRUE,risk,City at Risk,Decatur
0121184,01,AL,Houston,"Dothan city, Alabama",71118,55052,186600,40.4,0.13651663638259212,-85.4069775810914,31.23352698579029,0.4086350788668819,FALSE,7.395838855248979,TRUE,risk,City at Risk,Dothan
0135896,01,AL,Jefferson,"Hoover city, Alabama",92401,107822,391300,38.3,0.06699923254029164,-86.80838981951094,33.37630206815632,0.454726873646921,FALSE,15.121095183917276,TRUE,risk,City at Risk,Hoover
0137000,01,AL,Madison,"Huntsville city, Alabama",218814,70778,263100,36.4,0.08318387398627573,-86.64382000767611,34.697984838416595,0.47034115354857264,FALSE,23.781062148499235,TRUE,risk,City at Risk,Huntsville
0145784,01,AL,Madison,"Madison city, Alabama",58335,131436,367900,37.9,0.03173483779971791,-86.76298293182255,34.71125710907347,0.47034115354857264,FALSE,35.00668962344378,TRUE,risk,City at Risk,Madison
0150000,01,AL,Mobile,"Mobile city, Alabama",185097,51090,170300,37.7,0.14499030238913868,-88.11624982955148,30.678227839218067,0.609479020512535,FALSE,-2.8734302556456432,FALSE,origin,Origin City,Mobile
0151000,01,AL,Montgomery,"Montgomery city, Alabama",198440,55687,148500,36.2,0.14462015569739903,-86.26676591406748,32.348167473117336,0.40814305796578243,FALSE,-3.713159974328633,FALSE,origin,Origin City,Montgomery
0177256,01,AL,Tuscaloosa,"Tuscaloosa city, Alabama",107699,48536,236600,28.2,0.21493446881653222,-87.52680847728628,33.23469669171722,0.44434742425666485,FALSE,21.405172032208615,TRUE,risk,City at Risk,Tuscaloosa
0203000,02,AK,Anchorage,"Anchorage municipality, Alaska",289069,98152,375900,34.9,0.09897508290384824,-149.10734117809238,61.14953177989543,0.3025540882250872,TRUE,-1.667486060172546,FALSE,opportunity,Opportunity City,Anchorage
0404720,04,AZ,Maricopa,"Avondale city, Arizona",90644,81260,348700,32.4,0.047260696097829964,-112.32315419315056,33.38760372536879,0.22277148674561648,FALSE,23.500059508741288,TRUE,risk,City at Risk,Avondale
0407940,04,AZ,Maricopa,"Buckeye city, Arizona",99844,98778,384100,35.4,0.08018421935523226,-112.64220587661482,33.43115658557454,0.22277148674561648,FALSE,105.24633612830384,TRUE,risk,City at Risk,Buckeye
0410530,04,AZ,Pinal,"Casa Grande city, Arizona",57590,66354,258200,37.8,0.14273947780248744,-111.763496368272,32.90692818869069,0.4049930686700319,FALSE,23.085204521041703,TRUE,risk,City at Risk,Casa Grande
0410670,04,AZ,Pima,"Casas Adobes CDP, Arizona",70770,81041,311100,43.8,0.0662980068060282,-111.01158703534959,32.34227876187492,0.4207868509945964,FALSE,3.221104271592825,TRUE,risk,City at Risk,Casas Adobes
0411230,04,AZ,Pima,"Catalina Foothills CDP, Arizona",51756,113201,604100,55.9,0.13112334881042365,-110.8837713693247,32.30461116137827,0.4207868509945964,FALSE,-0.24758751314618366,FALSE,origin,Origin City,Catalina Foothills
0412000,04,AZ,Maricopa,"Chandler city, Arizona",278123,103691,469800,37.4,0.05004307095940562,-111.851161609268,33.282222213936144,0.22277148674561648,FALSE,18.833810755417993,TRUE,risk,City at Risk,Chandler
0423620,04,AZ,Coconino,"Flagstaff city, Arizona",76333,68041,503400,26,0.11603000063560669,-111.61946541132718,35.18722970024327,0.5502217327740268,FALSE,14.818094604207163,TRUE,risk,City at Risk,Flagstaff
0427400,04,AZ,Maricopa,"Gilbert town, Arizona",271118,121351,518600,35.7,0.03443774149058253,-111.74621112261053,33.30999031836154,0.22277148674561648,FALSE,31.429505878651355,TRUE,risk,City at Risk,Gilbert
0427820,04,AZ,Maricopa,"Glendale city, Arizona",250193,70139,347000,34.5,0.05567955404095942,-112.24537948885414,33.57569084113964,0.22277148674561648,FALSE,10.987362937812435,TRUE,risk,City at Risk,Glendale
0428380,04,AZ,Maricopa,"Goodyear city, Arizona",102891,101814,441900,40.8,0.09132628483050632,-112.36199250324866,33.26118151147328,0.22277148674561648,FALSE,60.68529635935303,TRUE,risk,City at Risk,Goodyear
0439370,04,AZ,Mohave,"Lake Havasu City city, Arizona",58037,66264,411500,55.7,0.21927239757465858,-114.31129255537277,34.50056957037024,0.3353448189479403,TRUE,10.648661557598661,TRUE,destination,Destination City,Lake Havasu City
0444270,04,AZ,Pima,"Marana town, Arizona",54487,108256,380100,41.5,0.06670243204577969,-111.15585993698848,32.43552489287504,0.4207868509945964,FALSE,57.29943610128434,TRUE,risk,City at Risk,Marana
0444410,04,AZ,Pinal,"Maricopa city, Arizona",62986,94208,338600,36.1,0.09863961053733108,-112.00104614479301,33.04081820588377,0.4049930686700319,FALSE,52.806246626068464,TRUE,risk,City at Risk,Maricopa
0446000,04,AZ,Maricopa,"Mesa city, Arizona",507478,78779,364300,37.2,0.1133456036973893,-111.71642148899855,33.400216193753614,0.22277148674561648,FALSE,18.004775022918235,TRUE,risk,City at Risk,Mesa
0454050,04,AZ,Maricopa,"Peoria city, Arizona",194338,93403,429400,42.1,0.06905282980456026,-112.29872708017541,33.78362948778101,0.22277148674561648,FALSE,25.866858528055552,TRUE,risk,City at Risk,Peoria
0455000,04,AZ,Maricopa,"Phoenix city, Arizona",1624832,77041,381900,34.8,0.06450789976775911,-112.08921322514949,33.571834626911546,0.22277148674561648,FALSE,15.277972871432073,TRUE,risk,City at Risk,Phoenix
0458150,04,AZ,Maricopa,"Queen Creek town, Arizona",66369,134719,576600,37.2,0.04819554409869269,-111.6167665314678,33.24471550624141,0.22277148674561648,FALSE,160.8749129498598,TRUE,risk,City at Risk,Queen Creek
0464210,04,AZ,Pinal,"San Tan Valley CDP, Arizona",105231,93642,365900,35,0.07517660317198538,-111.56282450013875,33.17856142044889,0.4049930686700319,FALSE,43.27950003745723,TRUE,risk,City at Risk,San Tan Valley
0465000,04,AZ,Maricopa,"Scottsdale city, Arizona",242169,107372,709900,49.2,0.14907312421435898,-111.86509028811854,33.687062585196664,0.22277148674561648,FALSE,11.183132462833193,TRUE,risk,City at Risk,Scottsdale
0471510,04,AZ,Maricopa,"Surprise city, Arizona",149519,93371,396000,41.6,0.09798528729538074,-112.45133611616522,33.68154182897671,0.22277148674561648,FALSE,36.11193558216979,TRUE,risk,City at Risk,Surprise
0473000,04,AZ,Maricopa,"Tempe city, Arizona",186419,77643,421900,29.9,0.0898965321742417,-111.93189475828723,33.3880902921796,0.22277148674561648,FALSE,16.68443213051663,TRUE,risk,City at Risk,Tempe
0477000,04,AZ,Pima,"Tucson city, Arizona",543348,54546,242200,34.6,0.08436925429961438,-110.87875730549132,32.1538878829167,0.4207868509945964,FALSE,6.7035832417397385,TRUE,risk,City at Risk,Tucson
0485540,04,AZ,Yuma,"Yuma city, Arizona",98461,62546,209100,32.1,0.13458414369065325,-114.54915288466542,32.59969243202296,0.20076354889765616,FALSE,6.95506768782452,TRUE,risk,City at Risk,Yuma
0505320,05,AR,Benton,"Bentonville city, Arkansas",56326,108465,370700,31.9,0.09305841347163314,-94.23165830951069,36.352423362661284,0.3951118318336648,FALSE,63.402312496319325,TRUE,risk,City at Risk,Bentonville
0515190,05,AR,Faulkner,"Conway city, Arkansas",66288,58461,234600,29.6,0.06600244712462856,-92.4690306526748,35.07501044052717,0.42714587308233537,FALSE,11.38308569673868,TRUE,risk,City at Risk,Conway
0523290,05,AR,Washington,"Fayetteville city, Arkansas",97227,59074,322500,28.7,0.08304600308501951,-94.16626294269773,36.07155790871062,0.4376659114941844,FALSE,31.282400783942794,TRUE,risk,City at Risk,Fayetteville
0524550,05,AR,Sebastian,"Fort Smith city, Arkansas",89496,52692,168100,36.6,0.0913166940666567,-94.36948145695727,35.349400086189355,0.3898119186122796,TRUE,4.954090026115011,TRUE,destination,Destination City,Fort Smith
0535710,05,AR,Craighead,"Jonesboro city, Arkansas",79187,52559,213400,33.7,0.09407624633431085,-90.679081429825,35.8212107024501,0.45180657982256667,FALSE,17.150125333274495,TRUE,risk,City at Risk,Jonesboro
0541000,05,AR,Pulaski,"Little Rock city, Arkansas",202739,60583,221200,36.4,0.1288303559786152,-92.35787426027164,34.72566086023317,0.39078882236144163,TRUE,4.121480368371008,TRUE,destination,Destination City,Little Rock
0550450,05,AR,Pulaski,"North Little Rock city, Arkansas",64504,51236,169500,36.7,0.10529296060082255,-92.23540427921374,34.78064996303021,0.39078882236144163,TRUE,5.517456852874024,TRUE,destination,Destination City,North Little Rock
0560410,05,AR,Benton,"Rogers city, Arkansas",71411,82993,278000,34.1,0.07913616928762954,-94.15310217031774,36.3169760223526,0.3951118318336648,FALSE,29.959524441545593,TRUE,risk,City at Risk,Rogers
0566080,05,AR,Washington,"Springdale city, Arkansas",87388,66044,237200,32.5,0.055893426006371275,-94.15560668347572,36.191173538708966,0.4376659114941844,FALSE,27.553616595319117,TRUE,risk,City at Risk,Springdale
0600562,06,CA,Alameda,"Alameda city, California",76876,132015,1203900,40.7,0.07217778331102742,-122.26630151402208,37.76657937125478,0.3517389118677574,FALSE,3.882040195045999,TRUE,risk,City at Risk,Alameda
0600884,06,CA,Los Angeles,"Alhambra city, California",81483,85189,812700,41.9,0.06342981637099285,-118.13549408244481,34.08397871077838,0.23716956704900946,FALSE,-1.796475087585926,FALSE,origin,Origin City,Alhambra
0600947,06,CA,Orange,"Aliso Viejo city, California",51320,137970,863800,38.6,0.046588119783996074,-117.72891685828371,33.579232865499144,0.3948943864941562,FALSE,7.3122036709108436,TRUE,risk,City at Risk,Aliso Viejo
0602000,06,CA,Orange,"Anaheim city, California",344553,90583,771700,35.9,0.0404341754475054,-117.85749363656895,33.838994937018505,0.3948943864941562,FALSE,5.371326654947712,TRUE,risk,City at Risk,Anaheim
0602252,06,CA,Contra Costa,"Antioch city, California",115759,94256,607400,38.1,0.02356600590468157,-121.79598803823713,37.978670485159064,0.32010033131426796,FALSE,17.27462950219219,TRUE,risk,City at Risk,Antioch
0602364,06,CA,San Bernardino,"Apple Valley town, California",75478,65926,377300,35.5,0.038876805965511886,-117.21091190509928,34.535171182715224,0.36758745709462837,TRUE,9.939077786829893,TRUE,destination,Destination City,Apple Valley
0602462,06,CA,Los Angeles,"Arcadia city, California",55550,116142,1336500,43.2,0.07910063013175482,-118.03725940227997,34.13418535306393,0.23716956704900946,FALSE,-2.6939796217618186,FALSE,origin,Origin City,Arcadia
0602553,06,CA,Sacramento,"Arden-Arcade CDP, California",96319,71767,504400,36.8,0.04752050846205011,-121.38448725621417,38.601714479590484,0.3595535877040543,FALSE,6.9229763518206155,TRUE,risk,City at Risk,Arden-Arcade
0603526,06,CA,Kern,"Bakersfield city, California",408366,77397,347300,31.9,0.046684992082225346,-119.03591517719686,35.35286014238156,0.228455779626304,TRUE,18.791823603398296,TRUE,destination,Destination City,Bakersfield
0603666,06,CA,Los Angeles,"Baldwin Park city, California",70720,79087,588100,37.4,0.019435296658208714,-117.97217175375705,34.082837549394014,0.23716956704900946,FALSE,-2.8627810244218095,FALSE,origin,Origin City,Baldwin Park
0604758,06,CA,Riverside,"Beaumont city, California",54817,105164,464000,35.4,0.019421938746193187,-116.9765519904175,33.90755756777673,0.35160961275032754,TRUE,52.17726566572996,TRUE,destination,Destination City,Beaumont
0604982,06,CA,Los Angeles,"Bellflower city, California",77396,77602,661100,35.9,0.03387893383403404,-118.12711733041351,33.88803068509974,0.23716956704900946,FALSE,5.021565243142268,TRUE,risk,City at Risk,Bellflower
0606000,06,CA,Alameda,"Berkeley city, California",120223,108558,1351100,32.9,0.1026634940128953,-122.27598664361629,37.87222248159525,0.3517389118677574,FALSE,8.842420613678033,TRUE,risk,City at Risk,Berkeley
0608142,06,CA,Contra Costa,"Brentwood city, California",64609,139567,791600,40.5,0.024529005782503263,-121.71897917409152,37.935573369602075,0.32010033131426796,FALSE,30.021358913055167,TRUE,risk,City at Risk,Brentwood
0608786,06,CA,Orange,"Buena Park city, California",83052,108187,771900,37.4,0.030527623092023556,-118.00459613952418,33.85721169567282,0.3948943864941562,FALSE,6.840607877251669,TRUE,risk,City at Risk,Buena Park
0608954,06,CA,Los Angeles,"Burbank city, California",105165,95816,1041100,39.8,0.06986890131962592,-118.32353180062397,34.18788824059968,0.23716956704900946,FALSE,1.7041546434614814,TRUE,risk,City at Risk,Burbank
0610046,06,CA,Ventura,"Camarillo city, California",70244,109390,766100,41.2,0.049029622063329927,-119.03210433779152,34.22299650014899,0.3522754004172856,FALSE,7.857096123094053,TRUE,risk,City at Risk,Camarillo
0611194,06,CA,San Diego,"Carlsbad city, California",114500,139326,1156900,42.8,0.07330383480825958,-117.28334577715363,33.12460682383211,0.42594943582171474,FALSE,10.257386795139162,TRUE,risk,City at Risk,Carlsbad
0611390,06,CA,Sacramento,"Carmichael CDP, California",78070,84376,541500,41,0.049521393846060933,-121.32629843700656,38.631834876648234,0.3595535877040543,FALSE,31.38652460523116,TRUE,risk,City at Risk,Carmichael
0611530,06,CA,Los Angeles,"Carson city, California",93523,107391,645600,41.9,0.04716198174142099,-118.25592729963907,33.83744856487807,0.23716956704900946,FALSE,2.8205150780682247,TRUE,risk,City at Risk,Carson
0611964,06,CA,Alameda,"Castro Valley CDP, California",65389,138069,1058200,42.8,0.029115194901567068,-122.06261382979628,37.70883392237562,0.3517389118677574,FALSE,8.843840355513903,TRUE,risk,City at Risk,Castro Valley
0612048,06,CA,Riverside,"Cathedral City city, California",52047,67031,420700,40.9,0.17119494678549796,-116.46423544441996,33.836184579748476,0.35160961275032754,TRUE,3.9276995378047754,TRUE,destination,Destination City,Cathedral City
0613014,06,CA,Butte,"Chico city, California",102032,67929,455300,31,0.07738003564278013,-121.81627629856034,39.7574599976698,0.3842240213106962,TRUE,22.223021390834525,TRUE,destination,Destination City,Chico
0613210,06,CA,San Bernardino,"Chino city, California",91775,103845,641500,36.8,0.04405066894392257,-117.66540732814858,33.9836414745567,0.36758745709462837,TRUE,20.53499534041483,TRUE,destination,Destination City,Chino
0613214,06,CA,San Bernardino,"Chino Hills city, California",78024,122600,830000,40.6,0.027994965483046644,-117.72539622417567,33.95082035328751,0.36758745709462837,TRUE,4.634681668192855,TRUE,destination,Destination City,Chino Hills
0613392,06,CA,San Diego,"Chula Vista city, California",275030,105173,697400,37,0.05900480477163528,-117.01443614330464,32.62812508670098,0.42594943582171474,FALSE,15.970240358644382,TRUE,risk,City at Risk,Chula Vista
0613588,06,CA,Sacramento,"Citrus Heights city, California",87036,77167,432100,38.3,0.03731023243845956,-121.28796801540362,38.69481311071464,0.3595535877040543,FALSE,4.344555462366193,TRUE,risk,City at Risk,Citrus Heights
0614218,06,CA,Fresno,"Clovis city, California",122719,100360,453300,35.3,0.031976812687041965,-119.6828392845091,36.82854176884777,0.30791246617046497,TRUE,30.096091625692573,TRUE,destination,Destination City,Clovis
0614890,06,CA,San Bernardino,"Colton city, California",53798,69581,411100,33.9,0.05184490651370581,-117.32531619344861,34.05360291090174,0.36758745709462837,TRUE,7.471669007068768,TRUE,destination,Destination City,Colton
0615044,06,CA,Los Angeles,"Compton city, California",93525,74270,546700,33.9,0.03685298560865071,-118.22741070399796,33.892990265619915,0.23716956704900946,FALSE,3.621689312065579,TRUE,risk,City at Risk,Compton
0616000,06,CA,Contra Costa,"Concord city, California",124260,109195,755900,38.6,0.027967112550055382,-122.00159117428692,37.972188012830564,0.32010033131426796,FALSE,2.3766202946991806,TRUE,risk,City at Risk,Concord
0616350,06,CA,Riverside,"Corona city, California",158839,106438,656500,37.3,0.03581383224047003,-117.56485874723187,33.86159304870643,0.35160961275032754,TRUE,6.901010032101641,TRUE,destination,Destination City,Corona
0616532,06,CA,Orange,"Costa Mesa city, California",110538,110073,1054700,36.5,0.04706528706162439,-117.91350634169393,33.66673304339334,0.3948943864941562,FALSE,2.464389200961254,TRUE,risk,City at Risk,Costa Mesa
0616742,06,CA,Los Angeles,"Covina city, California",50143,94792,666000,38.2,0.04178354371201496,-117.88183962949743,34.09029207680208,0.23716956704900946,FALSE,9.405659597618317,TRUE,risk,City at Risk,Covina
0617610,06,CA,Santa Clara,"Cupertino city, California",58886,231139,2000001,41.3,0.05389194754039658,-122.04651868667507,37.31683040267355,0.31066298948037374,FALSE,3.9405734333011893,TRUE,risk,City at Risk,Cupertino
0617918,06,CA,San Mateo,"Daly City city, California",102560,119570,1092700,41.7,0.09004913311119896,-122.46854553113751,37.6861676418075,0.3280952282674336,FALSE,2.9839629747664986,TRUE,risk,City at Risk,Daly City
0618100,06,CA,Yolo,"Davis city, California",66801,87421,829000,27.2,0.06703830246358569,-121.73705060297472,38.555297656342866,0.29792811499477545,FALSE,2.0540919697182765,TRUE,risk,City at Risk,Davis
0618394,06,CA,Kern,"Delano city, California",50835,61817,270300,33.5,0.041653212786567646,-119.26356231436803,35.76617059663841,0.228455779626304,TRUE,4.756500438948997,TRUE,destination,Destination City,Delano
0619192,06,CA,Los Angeles,"Diamond Bar city, California",53750,106602,867000,45.6,0.040105263157894734,-117.8161187817223,33.99915349857801,0.23716956704900946,FALSE,-4.09502036940907,FALSE,origin,Origin City,Diamond Bar
0619766,06,CA,Los Angeles,"Downey city, California",111793,87400,728500,37,0.0318650683022024,-118.13113735978867,33.93786394422609,0.23716956704900946,FALSE,3.374155225189816,TRUE,risk,City at Risk,Downey
0620018,06,CA,Alameda,"Dublin city, California",70542,205046,1224100,37.3,0.03743380361401948,-121.89635351875285,37.71612538788104,0.3517389118677574,FALSE,55.425727509104874,TRUE,risk,City at Risk,Dublin
0620802,06,CA,Los Angeles,"East Los Angeles CDP, California",114617,68378,613600,34,0.052243659223932364,-118.16915514716861,34.03263999129139,0.23716956704900946,FALSE,-4.923725499395234,FALSE,origin,Origin City,East Los Angeles
0621230,06,CA,Riverside,"Eastvale city, California",70179,161322,752000,36.1,0.02012094557449148,-117.58030066138879,33.96174348037593,0.35160961275032754,TRUE,23.207045908758378,TRUE,destination,Destination City,Eastvale
0621712,06,CA,San Diego,"El Cajon city, California",104909,66478,632800,35.5,0.03624092558983666,-116.96046202204083,32.801700226019136,0.42594943582171474,FALSE,6.916723596331184,TRUE,risk,City at Risk,El Cajon
0621880,06,CA,El Dorado,"El Dorado Hills CDP, California",50553,163544,870300,45.6,0.0358226750487752,-121.0489427142756,38.67496319297698,0.3587580725032984,TRUE,15.225087331022625,TRUE,destination,Destination City,El Dorado Hills
0622020,06,CA,Sacramento,"Elk Grove city, California",177221,122229,603400,39,0.024482881597717547,-121.38364653215349,38.415531418542436,0.3595535877040543,FALSE,17.723664608847738,TRUE,risk,City at Risk,Elk Grove
0622230,06,CA,Los Angeles,"El Monte city, California",107066,64484,626000,38.1,0.033851185609157806,-118.02910583506713,34.07394691070099,0.23716956704900946,FALSE,-3.102937578157191,FALSE,origin,Origin City,El Monte
0622678,06,CA,San Diego,"Encinitas city, California",61585,150471,1466000,43,0.08092639932847495,-117.2610112352774,33.04915315724926,0.42594943582171474,FALSE,3.891342574207555,TRUE,risk,City at Risk,Encinitas
0622804,06,CA,San Diego,"Escondido city, California",149913,84477,663500,37.1,0.03805400478523414,-117.07227322027951,33.13475419454911,0.42594943582171474,FALSE,7.465110206719627,TRUE,risk,City at Risk,Escondido
0623182,06,CA,Solano,"Fairfield city, California",119985,102321,592500,36.8,0.041733993132700466,-122.0335101826889,38.25824539847871,0.3342297927199796,FALSE,17.38994202812708,TRUE,risk,City at Risk,Fairfield
0624477,06,CA,Los Angeles,"Florence-Graham CDP, California",61723,61216,499100,31.1,0.0389920424403183,-118.24465818559742,33.968170732390504,0.23716956704900946,FALSE,3.339544027097725,TRUE,risk,City at Risk,Florence-Graham
0624638,06,CA,Sacramento,"Folsom city, California",82140,139263,702200,40.4,0.029576763485477178,-121.14215683884898,38.66674615008293,0.3595535877040543,FALSE,17.163205878499767,TRUE,risk,City at Risk,Folsom
0624680,06,CA,San Bernardino,"Fontana city, California",211921,98187,558500,33.3,0.019806058525701536,-117.45980496484354,34.09721068497994,0.36758745709462837,TRUE,12.92051270581569,TRUE,destination,Destination City,Fontana
0625380,06,CA,Orange,"Fountain Valley city, California",56358,111797,1018600,43.7,0.0212987012987013,-117.95136944631147,33.71050643023771,0.3948943864941562,FALSE,1.1158976628142239,TRUE,risk,City at Risk,Fountain Valley
0626000,06,CA,Alameda,"Fremont city, California",228518,176350,1289400,38.8,0.043776770749270597,-121.98403560942606,37.52642855187301,0.3517389118677574,FALSE,8.630785278185199,TRUE,risk,City at Risk,Fremont
0627000,06,CA,Fresno,"Fresno city, California",543615,66804,348500,32.4,0.04430012818262567,-119.79392030697974,36.78297609382749,0.30791246617046497,TRUE,13.004672301392485,TRUE,destination,Destination City,Fresno
0628000,06,CA,Orange,"Fullerton city, California",141278,104219,859600,36.1,0.04472207133804092,-117.92788190690808,33.884066870130184,0.3948943864941562,FALSE,5.04621867625097,TRUE,risk,City at Risk,Fullerton
0628168,06,CA,Los Angeles,"Gardena city, California",59765,79291,667600,39.8,0.052213754309562696,-118.30724699731913,33.89434463975096,0.23716956704900946,FALSE,5.1161196082450084,TRUE,risk,City at Risk,Gardena
0629000,06,CA,Orange,"Garden Grove city, California",170603,90166,765500,39.6,0.034741374179083746,-117.96011705377336,33.77871698101413,0.3948943864941562,FALSE,2.6491844398128435,TRUE,risk,City at Risk,Garden Grove
0629504,06,CA,Santa Clara,"Gilroy city, California",58561,131554,975800,36,0.04601849763140086,-121.5854383227235,37.004608940727024,0.31066298948037374,FALSE,21.60604863162805,TRUE,risk,City at Risk,Gilroy
0630000,06,CA,Los Angeles,"Glendale city, California",192270,84262,1043900,41.4,0.06720118290397828,-118.24685683879699,34.18187284300782,0.23716956704900946,FALSE,0.6878966654707995,TRUE,risk,City at Risk,Glendale
0630014,06,CA,Los Angeles,"Glendora city, California",51350,111915,820800,40.5,0.03773038136084386,-117.84675621880743,34.144915178293665,0.23716956704900946,FALSE,3.1855499580481457,TRUE,risk,City at Risk,Glendora
0631596,06,CA,Los Angeles,"Hacienda Heights CDP, California",54956,106620,778700,43.5,0.0374000816850458,-117.97273377437207,33.996982132326075,0.23716956704900946,FALSE,-0.9634187257490464,FALSE,origin,Origin City,Hacienda Heights
0631960,06,CA,Kings,"Hanford city, California",59389,73544,323600,32.5,0.04499799116110888,-119.65461530642527,36.32773875654656,0.27963134396651346,TRUE,8.948975716617054,TRUE,destination,Destination City,Hanford
0632548,06,CA,Los Angeles,"Hawthorne city, California",85933,72719,813700,33.6,0.03886527563111798,-118.34759794607625,33.914650967190816,0.23716956704900946,FALSE,4.0279774129251535,TRUE,risk,City at Risk,Hawthorne
0633000,06,CA,Alameda,"Hayward city, California",159201,113775,820700,38.2,0.05197194434862596,-122.0766005500489,37.63283742630457,0.3517389118677574,FALSE,14.001895200160002,TRUE,risk,City at Risk,Hayward
0633182,06,CA,Riverside,"Hemet city, California",90646,53623,314200,39.7,0.0803827202933425,-116.99684460071829,33.73408065329755,0.35160961275032754,TRUE,20.605451908070048,TRUE,destination,Destination City,Hemet
0633434,06,CA,San Bernardino,"Hesperia city, California",100141,68971,366800,32.9,0.04197409411378915,-117.31468797706071,34.39753112496763,0.36758745709462837,TRUE,17.16007268430264,TRUE,destination,Destination City,Hesperia
0633588,06,CA,San Bernardino,"Highland city, California",56690,77979,455200,33.3,0.03090285984400851,-117.16497551884522,34.111299742975085,0.36758745709462837,TRUE,10.99918804745445,TRUE,destination,Destination City,Highland
0636000,06,CA,Orange,"Huntington Beach city, California",196010,119885,1047300,43.4,0.05210727032709138,-118.00185348273646,33.69605458558469,0.3948943864941562,FALSE,3.2412538432841247,TRUE,risk,City at Risk,Huntington Beach
0636056,06,CA,Los Angeles,"Huntington Park city, California",53658,56952,557600,34.2,0.03132212331025387,-118.21671440302465,33.98003531237171,0.23716956704900946,FALSE,-5.375178866122449,FALSE,origin,Origin City,Huntington Park
0636448,06,CA,Riverside,"Indio city, California",90669,78709,424700,38.2,0.15721852505772105,-116.23467879834334,33.734619301303006,0.35160961275032754,TRUE,24.892733679666108,TRUE,destination,Destination City,Indio
0636546,06,CA,Los Angeles,"Inglewood city, California",105575,71029,744300,37.5,0.07136588891183152,-118.34444901080391,33.95655683529972,0.23716956704900946,FALSE,-0.16101663816967315,FALSE,origin,Origin City,Inglewood
0636770,06,CA,Orange,"Irvine city, California",308160,129647,1115400,33.9,0.0696946032168018,-117.77383954711586,33.677187345311445,0.3948943864941562,FALSE,44.81108516551084,TRUE,risk,City at Risk,Irvine
0637692,06,CA,Riverside,"Jurupa Valley city, California",106244,96190,538700,33.8,0.04515220834066514,-117.47055043496722,34.0010377671718,0.35160961275032754,TRUE,13.931160254125885,TRUE,destination,Destination City,Jurupa Valley
0639248,06,CA,Orange,"Laguna Niguel city, California",64023,140605,1123000,47.7,0.07414538453155084,-117.70499291317442,33.52748791003948,0.3948943864941562,FALSE,1.9355583535860232,TRUE,risk,City at Risk,Laguna Niguel
0639290,06,CA,Orange,"La Habra city, California",62233,98158,716700,38.1,0.02900473933649289,-117.95154756430973,33.928194373207546,0.3948943864941562,FALSE,5.681262727860611,TRUE,risk,City at Risk,La Habra
0639486,06,CA,Riverside,"Lake Elsinore city, California",71516,96527,505700,33.4,0.05279762457084532,-117.3343999885597,33.684653434970336,0.35160961275032754,TRUE,42.29684952893459,TRUE,destination,Destination City,Lake Elsinore
0639496,06,CA,Orange,"Lake Forest city, California",85846,131378,876300,40.4,0.047039919342134286,-117.67139026062834,33.66049140183174,0.3948943864941562,FALSE,10.112481898256608,TRUE,risk,City at Risk,Lake Forest
0639892,06,CA,Los Angeles,"Lakewood city, California",80510,116794,774100,39,0.022127372795686846,-118.1221473614546,33.84709027526103,0.23716956704900946,FALSE,1.8396987843068033,TRUE,risk,City at Risk,Lakewood
0640004,06,CA,San Diego,"La Mesa city, California",60835,84337,738800,37.1,0.04700984102952309,-117.02036635698555,32.770309926999914,0.42594943582171474,FALSE,6.984783958356365,TRUE,risk,City at Risk,La Mesa
0640130,06,CA,Los Angeles,"Lancaster city, California",170013,76083,409100,34.2,0.051993823235534566,-118.17532722772792,34.693478048051894,0.23716956704900946,FALSE,11.543653623683088,TRUE,risk,City at Risk,Lancaster
0641474,06,CA,Placer,"Lincoln city, California",51629,108108,628500,43.7,0.030892448512585814,-121.29373476505202,38.87738384363683,0.2559517849810836,TRUE,25.853154637404494,TRUE,destination,Destination City,Lincoln
0641992,06,CA,Alameda,"Livermore city, California",85870,153602,1038600,40.5,0.03259710108552425,-121.76063424520018,37.68674640789021,0.3517389118677574,FALSE,6.831208064893753,TRUE,risk,City at Risk,Livermore
0642202,06,CA,San Joaquin,"Lodi city, California",67008,84402,468800,35.9,0.06175558818730625,-121.29308622790631,38.121751882711884,0.2659808690458564,FALSE,11.54812048303776,TRUE,risk,City at Risk,Lodi
0643000,06,CA,Los Angeles,"Long Beach city, California",458491,83969,762200,36.8,0.05598752403991866,-118.1633520250053,33.80277455110906,0.23716956704900946,FALSE,2.1763895341093527,TRUE,risk,City at Risk,Long Beach
0644000,06,CA,Los Angeles,"Los Angeles city, California",3857897,80366,879500,36.9,0.07636200630565101,-118.40735573647376,34.11601701492299,0.23716956704900946,FALSE,3.7700288315890242,TRUE,risk,City at Risk,Los Angeles
