geoid,state_fips,state,name_county,name.x,population,median_income,median_home_value,median_age,vacancy_rate,longitude,latitude,climate_val,climate_flag,growing_val,growing_flag,type,type_name,clean_name
3103950,31,NE,Sarpy,"Bellevue city, Nebraska",64355,87343,230800,36.1,0.04544416533455127,-95.93864809175591,41.14672991882523,0.3681749567543699,TRUE,24.65024279118734,TRUE,destination,Destination City,Bellevue
3119595,31,NE,Hall,"Grand Island city, Nebraska",52761,62439,202600,34.5,0.034915285968360944,-98.35858308410037,40.921625740539405,0.3833726265261285,TRUE,6.7778885575215435,TRUE,destination,Destination City,Grand Island
3128000,31,NE,Lancaster,"Lincoln city, Nebraska",291932,69991,248200,33.4,0.045133422466238936,-96.67794734393061,40.80887853908369,0.3385286940777469,TRUE,12.894571113617587,TRUE,destination,Destination City,Lincoln
3137000,31,NE,Douglas,"Omaha city, Nebraska",488197,72708,230100,35.3,0.05534870534870535,-96.05425060419061,41.26280037967167,0.3620381520163356,TRUE,19.09823096643625,TRUE,destination,Destination City,Omaha
3209700,32,NV,Carson City,"Carson City, Nevada",58364,71809,426700,42.1,0.05019677134366717,-119.74757261232975,39.15115948147459,0.3197372435218128,TRUE,8.660415738976457,TRUE,destination,Destination City,Carson City
3223770,32,NV,Clark,"Enterprise CDP, Nevada",232043,93980,449300,36.2,0.0756169014084507,-115.22783457075575,36.00914505656115,0.1339927425349734,TRUE,104.70579708626346,TRUE,destination,Destination City,Enterprise
3231900,32,NV,Clark,"Henderson city, Nevada",324523,88654,465000,42.5,0.06861892900709271,-115.02849063172823,36.006428026162425,0.1339927425349734,TRUE,23.763536747987448,TRUE,destination,Destination City,Henderson
3240000,32,NV,Clark,"Las Vegas city, Nevada",650873,70723,395300,38.5,0.07398525522999871,-115.26538751902244,36.23330953679744,0.1339927425349734,TRUE,12.066695760561338,TRUE,destination,Destination City,Las Vegas
3251800,32,NV,Clark,"North Las Vegas city, Nevada",270773,76772,372300,34.3,0.06238800751715397,-115.08407809238393,36.29003814296122,0.1339927425349734,TRUE,28.243111387917935,TRUE,destination,Destination City,North Las Vegas
3254600,32,NV,Clark,"Paradise CDP, Nevada",186178,58874,358400,39,0.19862668514552098,-115.13552112935307,36.087150798626304,0.1339927425349734,TRUE,-15.70160541139425,FALSE,opportunity,Opportunity City,Paradise
3260600,32,NV,Washoe,"Reno city, Nevada",268959,78448,498600,37.3,0.06996373173100065,-119.84793758714054,39.54936758519908,0.34958348676460393,TRUE,21.97375549361382,TRUE,destination,Destination City,Reno
3268400,32,NV,Washoe,"Sparks city, Nevada",109106,86979,455900,36.9,0.07064960762709958,-119.71614765080697,39.57366655515679,0.34958348676460393,TRUE,23.16280090444851,TRUE,destination,Destination City,Sparks
3268585,32,NV,Clark,"Spring Valley CDP, Nevada",219913,72364,407900,39.2,0.07525138540110408,-115.26361042181026,36.09517503302908,0.1339927425349734,TRUE,22.72932812353436,TRUE,destination,Destination City,Spring Valley
3271400,32,NV,Clark,"Sunrise Manor CDP, Nevada",199099,55034,290900,34.1,0.0994260114797704,-115.04872064817022,36.17833777966916,0.1339927425349734,TRUE,4.50092632981525,TRUE,destination,Destination City,Sunrise Manor
3345140,33,NH,Hillsborough,"Manchester city, New Hampshire",115415,77415,336300,37.9,0.0543032200187055,-71.44471197251777,42.98478089639387,0.5185518114343873,FALSE,8.596107835477197,TRUE,risk,City at Risk,Manchester
3350260,33,NH,Hillsborough,"Nashua city, New Hampshire",91131,92457,373100,39.7,0.04042951484582185,-71.49097433605107,42.749139366602364,0.5185518114343873,FALSE,6.977277355466914,TRUE,risk,City at Risk,Nashua
3403580,34,NJ,Hudson,"Bayonne city, New Jersey",70468,81285,446100,38.6,0.06087331321905772,-74.1090727293324,40.665177651890154,0.596256903602592,FALSE,11.690451704999175,TRUE,risk,City at Risk,Bayonne
3410000,34,NJ,Camden,"Camden city, New Jersey",71471,40450,100400,33.4,0.11543696275071633,-75.10727172681021,39.93615298268846,0.6021744540741638,FALSE,-2.304610227160685,FALSE,origin,Origin City,Camden
3413690,34,NJ,Passaic,"Clifton city, New Jersey",89247,99003,444300,41.1,0.034259041803663695,-74.15755053422063,40.86304823092183,0.5723276842436958,FALSE,7.767755372968789,TRUE,risk,City at Risk,Clifton
3419390,34,NJ,Essex,"East Orange city, New Jersey",69183,59872,315500,37,0.0587999599318842,-74.21165899227611,40.765063683900586,0.5566633746725684,FALSE,11.820308574163661,TRUE,risk,City at Risk,East Orange
3421000,34,NJ,Union,"Elizabeth city, New Jersey",135887,63874,393500,35.8,0.06146301593788312,-74.19358275742776,40.6665856878868,0.5953311749153725,FALSE,10.24810748603395,TRUE,risk,City at Risk,Elizabeth
3432250,34,NJ,Hudson,"Hoboken city, New Jersey",58340,176943,872100,31.9,0.07773886943471736,-74.0281215441471,40.74525053872917,0.596256903602592,FALSE,17.993549019647368,TRUE,risk,City at Risk,Hoboken
3436000,34,NJ,Hudson,"Jersey City city, New Jersey",289691,94813,534500,34.7,0.07165475436533068,-74.0679930620874,40.71894259303619,0.596256903602592,FALSE,19.156520496126085,TRUE,risk,City at Risk,Jersey City
3438580,34,NJ,Ocean,"Lakewood CDP, New Jersey",69884,57576,618400,17.3,0.03894316774459887,-74.21174342317462,40.09421380358218,0.6599368617935408,FALSE,32.78963293231982,TRUE,risk,City at Risk,Lakewood
3451000,34,NJ,Essex,"Newark city, New Jersey",307188,48416,337800,34.8,0.06460313805466926,-74.17463556891731,40.725902348798364,0.5566633746725684,FALSE,14.233570517600509,TRUE,risk,City at Risk,Newark
3451210,34,NJ,Middlesex,"New Brunswick city, New Jersey",55744,60248,316800,24.5,0.06830296994903638,-74.44502254412225,40.48703318006944,0.6120093712005698,FALSE,3.1070821561576176,TRUE,risk,City at Risk,New Brunswick
3456550,34,NJ,Passaic,"Passaic city, New Jersey",69651,56780,406500,30.9,0.027831961558589847,-74.128212032325,40.857444013620466,0.5723276842436958,FALSE,3.1923451980990696,TRUE,risk,City at Risk,Passaic
3457000,34,NJ,Passaic,"Paterson city, New Jersey",157660,53766,335400,33.3,0.054138429909388566,-74.16239570084086,40.91467168733544,0.5723276842436958,FALSE,12.050695105893315,TRUE,risk,City at Risk,Paterson
3458200,34,NJ,Middlesex,"Perth Amboy city, New Jersey",55278,58490,339200,36.3,0.033783783783783786,-74.27235879774257,40.5202762989102,0.6120093712005698,FALSE,11.152262654564336,TRUE,risk,City at Risk,Perth Amboy
3459190,34,NJ,Union,"Plainfield city, New Jersey",54515,80334,383300,33,0.052306256924602015,-74.4156659994816,40.61543926100466,0.5953311749153725,FALSE,8.359527523280937,TRUE,risk,City at Risk,Plainfield
3473110,34,NJ,Ocean,"Toms River CDP, New Jersey",93915,95759,377800,41.6,0.09720838760759073,-74.18598951878738,39.993052123130475,0.6599368617935408,FALSE,5.148353969150336,TRUE,risk,City at Risk,Toms River
3474000,34,NJ,Mercer,"Trenton city, New Jersey",89966,47102,122500,35.4,0.10501519333166068,-74.76407984052946,40.223651376023014,0.6328371498310746,FALSE,6.074034491883077,TRUE,risk,City at Risk,Trenton
3474630,34,NJ,Hudson,"Union City city, New Jersey",66375,65369,446800,37.8,0.06049121784126522,-74.03227578246275,40.76744559730172,0.596256903602592,FALSE,1.567213613998117,TRUE,risk,City at Risk,Union City
3476070,34,NJ,Cumberland,"Vineland city, New Jersey",60692,65854,218200,38.8,0.049712033949681725,-74.99808698077159,39.46526489945383,0.6461410305112331,FALSE,-0.6411220028442214,FALSE,origin,Origin City,Vineland
3479610,34,NJ,Hudson,"West New York town, New Jersey",51683,67139,410200,37.3,0.06857658470561696,-74.00939558147451,40.785670045600526,0.596256903602592,FALSE,5.526988598834242,TRUE,risk,City at Risk,West New York
3502000,35,NM,Bernalillo,"Albuquerque city, New Mexico",562488,65604,266700,38.7,0.05740069531770101,-106.6464299542292,35.10534427526194,0.46799515111186296,FALSE,4.267176094557451,TRUE,risk,City at Risk,Albuquerque
3539380,35,NM,Doña Ana,"Las Cruces city, New Mexico",112612,55176,217400,32.7,0.06320142946053926,-106.78931888051906,32.32650952798973,0.5558293732230625,FALSE,16.638745580631966,TRUE,risk,City at Risk,Las Cruces
3563460,35,NM,Sandoval,"Rio Rancho city, New Mexico",106533,85755,273300,39,0.03562992125984252,-106.69827919483794,35.28723602416435,0.47020500505627205,FALSE,23.222129363838683,TRUE,risk,City at Risk,Rio Rancho
3570500,35,NM,Santa Fe,"Santa Fe city, New Mexico",88224,70110,411500,46.4,0.10604230270816403,-105.98195608783816,35.66190299797852,0.5819394627588166,FALSE,29.12939513049116,TRUE,risk,City at Risk,Santa Fe
3601000,36,NY,Albany,"Albany city, New York",100081,59485,223000,31.9,0.13733262340018537,-73.7986459147209,42.666371979319266,0.6401643664734491,FALSE,4.831404359048512,TRUE,risk,City at Risk,Albany
3611000,36,NY,Erie,"Buffalo city, New York",276397,48050,152300,34.3,0.12440215918495895,-78.84869751480151,42.90179132906829,0.38784831198037867,TRUE,7.866606858898322,TRUE,destination,Destination City,Buffalo
3615000,36,NY,Erie,"Cheektowaga CDP, New York",76251,66293,169200,39.3,0.032240730789897906,-78.74959023692037,42.90817650237154,0.38784831198037867,TRUE,2.797350953934126,TRUE,destination,Destination City,Cheektowaga
3633139,36,NY,Nassau,"Hempstead village, New York",58569,82454,442100,36.5,0.0813336164790826,-73.6192853792119,40.70434174222605,0.4800401962350874,FALSE,8.851252051170547,TRUE,risk,City at Risk,Hempstead
3637737,36,NY,Monroe,"Irondequoit CDP, New York",50438,76871,169000,43.6,0.04642537408875815,-77.57047415424319,43.209610584811834,0.4042475791974644,FALSE,-0.8694725159291391,FALSE,origin,Origin City,Irondequoit
3642081,36,NY,Nassau,"Levittown CDP, New York",51557,139696,564000,41.8,0.018087258017913898,-73.51247121559277,40.72412234490821,0.4800401962350874,FALSE,-2.048652754069657,FALSE,origin,Origin City,Levittown
